symbol,name,current_price,avg_volume_30d,price_52w_high,price_52w_low,ytd_return,volatility_annualized,sma_20,sma_50,market_cap_category,data_collected_at,bars_count
RIOT,"Riot Platforms, Inc.",8.1679,31818983.333333332,15.869999885559082,6.190000057220459,-18.32099914550781,0.7356000317305308,8.555895018577576,7.84105803489685,Low Price,2025-05-29T18:17:14.039203,251
AMT,American Tower Corporation (REI,212.84,2805555.5,237.71576007371795,171.10221977581452,18.65036786790746,0.2735335985131802,214.9740005493164,214.68177093505858,Medium Price,2025-05-29T18:17:14.484433,251
PLD,"Prologis, Inc.",109.05,4566762.566666666,129.30280157323995,85.3499984741211,7.399588191682405,0.2608226762732456,106.99700088500977,104.95380020141602,Medium Price,2025-05-29T18:17:14.518809,251
CCI,Crown Castle Inc.,99.9369,2696584.8,117.04544916956273,82.81422764194471,8.599558038276257,0.2433446798461675,102.36734542846679,102.02213775634766,Low Price,2025-05-29T18:17:14.811013,251
SBAC,SBA Communications Corporation,228.96,928367.2666666667,249.01964970068752,181.96582242088272,25.191231062322107,0.24021445943960001,232.77970657348632,225.58872436523438,Medium Price,2025-05-29T18:17:14.942156,251
EQIX,"Equinix, Inc.",885.37,504081.63333333336,983.5930564746006,697.6542756159126,18.897483546365578,0.14036121889124586,867.7995849609375,830.2253100585938,High Price,2025-05-29T18:17:15.286067,251
REIT,ALPS Active REIT ETF,26.669,10013.766666666666,29.82946413966954,23.399999618530273,13.409243726787468,0.1590004172289921,26.543950176239015,26.354379997253417,Low Price,2025-05-29T18:17:15.725270,251
VTR,"Ventas, Inc.",64.16,2776862.2,71.36000061035156,45.25449853231302,39.53315119006069,0.28433416423182367,65.0580005645752,66.52720436096192,Low Price,2025-05-29T18:17:15.949926,251
DLR,"Digital Realty Trust, Inc.",172.03,1759550.3,195.0647082124082,129.9499969482422,25.43409278454778,0.13859234718029362,167.60149917602538,156.06979888916015,Medium Price,2025-05-29T18:17:16.375715,251
AAPL,Apple Inc.,199.54,52692425.93333333,259.47408555117545,168.9884109270566,5.351397489445375,0.3435114972114468,203.9892791748047,205.48045654296874,Medium Price,2025-05-29T18:17:16.514045,251
IBM,International Business Machines,259.04,4276432.366666666,269.2799987792969,158.72378128049124,59.76282769764436,0.23324955268510908,256.4821807861328,245.7269857788086,Medium Price,2025-05-29T18:17:16.682438,251
HPQ,HP Inc.,25.015,7599361.033333333,39.072228458217346,21.209999084472656,-21.068470706223998,0.44990207463221016,27.451249980926512,26.3675,Low Price,2025-05-29T18:17:16.910886,251
DELL,Dell Technologies Inc.,113.13,5586883.3,176.6002667990146,65.82784360249838,-35.76492509996216,0.35326645379833926,105.77549934387207,95.31767456054688,Medium Price,2025-05-29T18:17:17.205700,251
ZM,"Zoom Communications, Inc.",79.6,2231203.3333333335,92.80000305175781,55.060001373291016,29.726202220233368,0.1951322587459291,80.88749961853027,76.55989959716797,Low Price,2025-05-29T18:17:18.059103,251
DDOG,"Datadog, Inc.",117.105,4580749.1,170.0800018310547,81.62999725341797,-3.759859415489819,0.33000189046995815,112.9202491760254,103.95329925537109,Medium Price,2025-05-29T18:17:18.237266,251
CSCO,"Cisco Systems, Inc.",62.895,19788375.933333334,66.05896139250312,43.572683630135934,40.578733366736586,0.22959853943096692,61.73249988555908,59.42307945251465,Low Price,2025-05-29T18:17:18.275977,251
CRWD,"CrowdStrike Holdings, Inc.",460.545,3276753.8333333335,474.2300109863281,200.80999755859375,31.764999972496465,0.37950880772207274,441.0067504882812,401.48389892578126,Medium Price,2025-05-29T18:17:18.395355,251
OKTA,"Okta, Inc.",106.845,4686460.066666666,127.56700134277344,70.55999755859375,10.881071548296784,0.6450502170706044,119.91300010681152,110.38019989013672,Medium Price,2025-05-29T18:17:18.701923,251
TEAM,Atlassian Corporation,205.155,2255637.7666666666,326.0,135.2899932861328,23.766291975134134,0.49918230062203306,213.853751373291,213.49450073242187,Medium Price,2025-05-29T18:17:18.795807,251
MDB,"MongoDB, Inc.",189.97,2137970.4,370.0,140.77999877929688,-43.12104949989875,0.33203559285637924,184.44699935913087,176.5125994873047,Medium Price,2025-05-29T18:17:19.525531,251
DOCN,"DigitalOcean Holdings, Inc.",27.95,1441490.2666666666,47.02000045776367,25.450000762939453,-23.424655444001495,0.6950496207378576,30.017500019073488,30.818199920654298,Low Price,2025-05-29T18:17:19.939961,251
NET,"Cloudflare, Inc.",164.285,3265017.1333333333,177.3679962158203,66.23999786376953,118.46410948019268,0.39794028595608716,145.25325050354004,125.95350067138672,Medium Price,2025-05-29T18:17:20.447163,251
FSLY,"Fastly, Inc.",7.365,2462048.6,12.079999923706055,4.650000095367432,-8.622836381087762,1.0135947180298044,7.232750082015992,6.483500032424927,Low Price,2025-05-29T18:17:20.715507,251
ESTC,Elastic N.V.,91.81,1875245.7,123.95999908447266,69.0,-10.254159511468174,0.4014854548718522,89.74549980163575,87.22919967651367,Low Price,2025-05-29T18:17:20.847895,251
