symbol,name,current_price,avg_volume_30d,price_52w_high,price_52w_low,ytd_return,volatility_annualized,sma_20,sma_50,market_cap_category,data_collected_at,bars_count,open,daily_high,daily_low,close,high,low
DELL,Dell Technologies Inc.,,6266643.333333333,158.7338882580659,65.82784360249838,-10.943634521407397,0.3961958038017582,110.93349952697754,96.99048370361328,Medium Price,2025-06-07T19:07:35.465571,250,112.83000183105469,,,113.75,115.23999786376953,112.83000183105469
HPQ,HP Inc.,,8839130.0,39.07223232144766,21.209999084472656,-28.503953314741516,0.45618109957700276,27.208000087738036,25.92180004119873,Low Price,2025-06-07T19:07:35.546173,250,25.0,,,25.18,25.299999237060547,24.84000015258789
ZM,"Zoom Communications, Inc.",,2496100.0,92.80000305175781,55.060001373291016,27.864414829750928,0.1916115531629047,81.66499938964844,77.03649978637695,Low Price,2025-06-07T19:07:36.092963,250,81.19999694824219,,,80.35,81.37999725341797,80.0199966430664
DDOG,"Datadog, Inc.",,4775143.333333333,170.0800018310547,81.62999725341797,11.592219146706562,0.28789984054927903,116.89349937438965,105.48199920654297,Medium Price,2025-06-07T19:07:36.272572,250,122.63999938964844,,,122.16,123.1500015258789,121.54000091552734
OKTA,"Okta, Inc.",,5181300.0,127.56700134277344,70.55999755859375,20.201331539701208,0.6434154668779971,116.40325012207032,109.14789993286132,Medium Price,2025-06-07T19:07:36.513969,250,105.38999938964844,,,105.08,105.5250015258789,104.04000091552734
CRWD,"CrowdStrike Holdings, Inc.",,4036450.0,491.20001220703125,200.80999755859375,34.168770111514334,0.4132455597303503,451.9660018920898,413.3669989013672,Medium Price,2025-06-07T19:07:36.574843,250,463.1199951171875,,,468.41,478.46600341796875,463.1199951171875
TEAM,Atlassian Corporation,,2333826.6666666665,326.0,135.2899932861328,31.31121064237017,0.4315577640905776,213.84400100708007,211.15660095214844,Medium Price,2025-06-07T19:07:37.220491,250,220.02000427246094,,,214.51,220.5449981689453,214.39999389648438
MDB,"MongoDB, Inc.",,2683413.3333333335,370.0,140.77999877929688,-3.0305720876277364,0.5628431903070862,193.32799911499023,177.6829995727539,Medium Price,2025-06-07T19:07:37.267580,250,227.64999389648438,,,220.14,227.92999267578125,219.13999938964844
DOCN,"DigitalOcean Holdings, Inc.",,1614736.6666666667,47.02000045776367,25.450000762939453,-23.346719329577393,0.561303416226862,29.488999938964845,29.82999984741211,Low Price,2025-06-07T19:07:37.740496,250,28.5,,,28.63,28.8799991607666,28.020000457763672
NET,"Cloudflare, Inc.",,3392030.0,181.80999755859375,69.26000213623047,154.0223238252292,0.3806349573746967,160.0115005493164,132.10620056152345,Medium Price,2025-06-07T19:07:37.742256,250,178.38999938964844,,,179.67,181.80999755859375,176.14999389648438
FSLY,"Fastly, Inc.",,2479093.3333333335,12.079999923706055,4.650000095367432,2.406414811225077,0.41373625732059693,7.652000045776367,6.542600030899048,Low Price,2025-06-07T19:07:38.208713,250,7.619999885559082,,,7.66,7.769999980926514,7.610000133514404
ESTC,Elastic N.V.,,2247876.6666666665,123.95999908447266,69.0,-22.831619701080385,0.5897836624018784,89.59000015258789,85.4747998046875,Low Price,2025-06-07T19:07:38.249571,250,87.13999938964844,,,86.39,87.5,85.79000091552734
